label,link,specialization,films_years,description
Эрен Крюгер,https://www.kinopoisk.ru/name/8444,"Сценарист,Продюсер","34, 1998 — 2022","Топ Ган: Мэверик,Дорога на Арлингтон,Ключ от всех дверей,Звонок,Трансформеры: Месть падших"
Бен Дьюкс,https://www.kinopoisk.ru/name/1149665,"Актер,Продюсер,Оператор","20, 2006 — 2023",
Робин Кристофер,https://www.kinopoisk.ru/name/1114601,Актриса,"10, 1968 — 2004",Звездный путь: Дальний космос 9
Скайлер Шэй,https://www.kinopoisk.ru/name/27326,Актриса,"27, 1994 — 2022","Анатомия страсти,Мыслить как преступник,Вероника Марс,Рэй Донован"
Лил Снупе,https://www.kinopoisk.ru/name/5788869,,"2, 2017 — 2021",
Стив Кази,https://www.kinopoisk.ru/name/1232928,"Актер,Продюсер","28, 1993 — 2023","Бесстыжие,Новичок,Морская полиция: Спецотдел,Ходячие мертвецы,C.S.I. Место преступления"
Элисон Иствуд,https://www.kinopoisk.ru/name/15912,"Актриса,Режиссер,Продюсер,Сценарист","56, 1980 — 2021","Пути и путы,Наркокурьер,Поединок"
Фрэнк Миллер,https://www.kinopoisk.ru/name/30393,"Сценарист,Актер,Продюсер,Режиссер","60, 1990 — 2022","Бэтмен: Возвращение Тёмного рыцаря,Темный рыцарь: Возрождение легенды. Часть 2,Город грехов,Темный рыцарь: Возрождение легенды. Часть 1,300 спартанцев,Новые приключения Бэтмена,Бэтмен будущего"
Ричард Спейт мл.,https://www.kinopoisk.ru/name/68290,"Актер,Режиссер,Сценарист,Продюсер","89, 1972 — 2022","День независимости,Здесь курят,Старый Генри,Сверхъестественное,Кунг-фу,Братья по оружию,Скорая помощь,Правосудие"
Кристин Милиоти,https://www.kinopoisk.ru/name/1098850,"Актриса,Продюсер,Сценарист","51, 1989 — 2024","Зависнуть в Палм-Спрингс,Волк с Уолл-стрит,Как я встретил вашу маму,Современная любовь,Сопрано,Черное зеркало,Симпсоны"
Фиона Губелманн,https://www.kinopoisk.ru/name/475989,Актриса,"69, 1999 — 2023","Хороший доктор,Уилфред,Американская семейка,Мыслить как преступник,Блудливая Калифорния"
Кирк Дуглас,https://www.kinopoisk.ru/name/32087,"Актер,Продюсер,Режиссер,Сценарист","243, 1946 — 2021","Тропы славы,Гран-при,Спартак,Туз в рукаве,Злые и красивые,Saturday Night Live,Байки из склепа,Симпсоны"
Наташа Буре,https://www.kinopoisk.ru/name/2582261,Актриса,"17, 2009 — 2023",Гимнастки
Джейсон Хейл,https://www.kinopoisk.ru/name/1525916,Актер,"5, 1970 — 2021",
Майкл Мосли,https://www.kinopoisk.ru/name/449436,"Актер,Режиссер","72, 1999 — 2022","Предложение,Пэн Американ,Клиника,Прослушка,Бруклин 9-9,Третья смена"
Барбара Элин Вудс,https://www.kinopoisk.ru/name/88613,Актриса,"55, 1984 — 2021","Холм одного дерева,Отчаянные домохозяйки,Звездный путь: Следующее поколение,Сайнфелд,Элли МакБил"
Шерри Стрингфилд,https://www.kinopoisk.ru/name/13565,Актриса,"48, 1990 — 2016","Осень в Нью-Йорке,Наваждение,Третья смена,Скорая помощь,C.S.I. Место преступления,Акула,Умерь свой энтузиазм"
Марк Бернье,https://www.kinopoisk.ru/name/10411,"Актриса,Сценарист,Режиссер,Продюсер,Художник","26, 1978 — 2022","Зодиак,Убойный отдел,Лас Вегас,Шпионка,Детектив Раш,Очевидное"
Та-Нехиси Коутс,https://www.kinopoisk.ru/name/2238499,"Сценарист,Актер,Продюсер","24, 2013 — 2023",
Чарльз Гродин,https://www.kinopoisk.ru/name/107439,"Актер,Сценарист,Режиссер,Продюсер","100, 1950 — 2023","Сердце и души,Успеть до полуночи,Красивая жизнь,Бетховен,Как в старое доброе время,Луи,Диснейленд,Закон и порядок. Специальный корпус"
Кевин Бейкон,https://www.kinopoisk.ru/name/7939,"Актер,Продюсер,Режиссер","267, 1978 — 2024","Убийство первой степени,Джон Ф. Кеннеди: Выстрелы в Далласе,Спящие,Несколько хороших парней,Таинственная река,Ищейка,Город на холме,Последователи,Фрейзер,Убить скуку"
Иэн Армитедж,https://www.kinopoisk.ru/name/4381115,Актер,"25, 2011 — 2023","Стеклянный замок,Щенячий патруль в кино,Детство Шелдона,Большая маленькая ложь,Теория большого взрыва,Закон и порядок. Специальный корпус"
Уоллес Шоун,https://www.kinopoisk.ru/name/7890,"Актер,Сценарист,Продюсер","207, 1968 — 2021","История о супружестве,Домашний арест,Проклятие нефритового скорпиона,Принцесса-невеста,Мой ужин с Андре,Детство Шелдона,Амфибия,Удивительная миссис Мейзел,Звездные врата: ЗВ-1,Скорая помощь"
Элизабет Чэмберс,https://www.kinopoisk.ru/name/476387,Актриса,"18, 2001 — 2012","План игры,Мыслить как преступник,Акула,Две девицы на мели"
Джордан Юбанкс,https://www.kinopoisk.ru/name/1108118,"Актер,Продюсер,Сценарист","8, 2006 — 2022",
Мэри Линн Райскаб,https://www.kinopoisk.ru/name/9714,"Актриса,Сценарист,Продюсер","199, 1975 — 2023","Человек на Луне,Джули и Джулия: Готовим счастье по рецепту,Маленькая мисс Счастье,Ужин по-американски,Загадочная кожа,24 часа,24 часа: Проживи еще один день,Американская семейка,Бруклин 9-9,Анатомия страсти"
Майкл Мэй,https://www.kinopoisk.ru/name/238284,"Продюсер,Актер,Режиссер,Сценарист,Монтажер","43, 2002 — 2023",
Тим Бёртон,https://www.kinopoisk.ru/name/21459,"Режиссер,Продюсер,Сценарист,Актер,Художник","141, 1971 — 2024","Кошмар перед Рождеством,Эдвард руки-ножницы,Крупная рыба,Сонная Лощина,Труп невесты,Уэнсдэй,Альфред Хичкок представляет"
Джеймс Дэшнер,https://www.kinopoisk.ru/name/2918387,"Сценарист,Продюсер","6, 2013 — 2022",
Ральф Джонсон,https://www.kinopoisk.ru/name/175437,"Актер,Композитор","27, 1975 — 2022",
Эрик Лайвли,https://www.kinopoisk.ru/name/26162,Актер,"29, 1983 — 2014","Говори,Американский пирог,Секс в другом городе,Полный дом ,Тайные связи"
Колин Каннингэм,https://www.kinopoisk.ru/name/6272,"Актер,Сценарист,Режиссер,Продюсер","106, 1991 — 2024","Звездные врата: Континуум,Кровавая езда,Секретные материалы,Звездные врата: ЗВ-1,Звездные врата: Атлантида,Секс в другом городе"
Эрик Морилло,https://www.kinopoisk.ru/name/3949157,"Актер,Композитор","3, 1994 — 2017",
Грег Лорен,https://www.kinopoisk.ru/name/2494,Актер,"29, 1973 — 2009","Время убивать,Вердикт: Суд над МакМартинами,Ночи в стиле буги,Практика,Шелковые сети"
Джо ДиМаджио,https://www.kinopoisk.ru/name/178167,Актер,"41, 1937 — 2023",
Джон Войт,https://www.kinopoisk.ru/name/515,"Актер,Продюсер,Сценарист,Режиссер","238, 1955 — 2024","Игра по чужим правилам,Враг государства,Полуночный ковбой,Сокровище нации,Куда приводят сны,Рэй Донован,Джек и Бобовое дерево: Правдивая история,Сайнфелд,24 часа"
Кэри Харт,https://www.kinopoisk.ru/name/32703,Актер,"28, 1998 — 2021",Три икса
СиДжей Адамс,https://www.kinopoisk.ru/name/1440469,Актер,"8, 2007 — 2016","Странная жизнь Тимоти Грина,Чикаго в огне,Булл"
Дэн Сэвадж,https://www.kinopoisk.ru/name/449932,"Актер,Продюсер,Сценарист","41, 1997 — 2022","Осторожно, спойлер!,Портландия"
Джек Кеси,https://www.kinopoisk.ru/name/2551673,"Актер,Продюсер","36, 2009 — 2024","Дэдпул 2,Рэй Донован,Шериф,Алиенист"
Джои Кинг,https://www.kinopoisk.ru/name/1141971,"Актриса,Продюсер","101, 2000 — 2024","Быстрее пули,Рамона и Бизус,Хотел бы я быть здесь,Темный рыцарь: Возрождение легенды,Эта дурацкая любовь,Тревожный звонок,Притворство,Симпсоны,Фарго,Красавцы"
Риба Макинтайр,https://www.kinopoisk.ru/name/49519,"Актриса,Продюсер","177, 1971 — 2023","Дрожь земли,Маленькие негодяи,Камуфляж и шпионаж,Детство Шелдона,Фрейзер,Папочка,Последний настоящий мужчина"
Шари Хэмрик,https://www.kinopoisk.ru/name/74414,"Продюсер,Актриса,Сценарист","25, 1975 — 2023",
Берт Ланкастер,https://www.kinopoisk.ru/name/58799,"Актер,Продюсер,Режиссер,Сценарист","183, 1946 — 2023","Нюрнбергский процесс,Семейный портрет в интерьере,Любитель птиц из Алькатраса,Леопард,Извините, ошиблись номером,Призрак оперы,Жизнь Верди"
Роберт Брэй,https://www.kinopoisk.ru/name/197050,Актер,"115, 1946 — 1963","Лэсси,Сумеречная зона,Альфред Хичкок представляет,Перри Мейсон"
Скотт Дерриксон,https://www.kinopoisk.ru/name/9982,"Режиссер,Сценарист,Продюсер,Актер,Монтажер","42, 1995 — 2025","Доктор Стрэндж,Шесть демонов Эмили Роуз,Сквозь снег"
Шэри Хидли,https://www.kinopoisk.ru/name/89770,Актриса,"46, 1970 — 2021","Поездка в Америку,Доктор Хаус,Квантовый скачок,Касл,Вероника Марс,Их перепутали в роддоме"
Джудит Вуд,https://www.kinopoisk.ru/name/209087,Актриса,"20, 1929 — 1950",
Робин Райт,https://www.kinopoisk.ru/name/8887,"Актриса,Продюсер,Режиссер","127, 1983 — 2024","Форрест Гамп,Бегущий по лезвию 2049,Рождественская история,Человек, который изменил всё,Белый Олеандр,Карточный домик,Озарк"
Мелисса Бенойст,https://www.kinopoisk.ru/name/1207946,"Актриса,Режиссер,Продюсер","56, 1999 — 2024","Одержимость,Дальняя дорога,Второй шанс,Трагедия в Уэйко,Родина,Хорошая жена,Хор,Закон и порядок. Специальный корпус"
Дэмиан Чапа,https://www.kinopoisk.ru/name/28182,"Актер,Режиссер,Продюсер,Сценарист,Оператор,Монтажер","76, 1987 — 2024","За кровь платят кровью,В осаде"
Райан Томас Брокингтон,https://www.kinopoisk.ru/name/18645,Актер,"16, 1992 — 2009",Доктор Хаус
Энвер Гьокай,https://www.kinopoisk.ru/name/1107215,"Актер,Сценарист,Режиссер,Продюсер","49, 1999 — 2021","Мстители,Экспресс: История легенды спорта Эрни Дэвиса,На крючке,Добровольцы,Кукольный дом,Агент Картер,Новичок,Декстер,Обмани меня"
Брайан Сато,https://www.kinopoisk.ru/name/1540400,Актер,"13, 2004 — 2015",
Джон Эстин,https://www.kinopoisk.ru/name/87473,"Актер,Режиссер,Сценарист,Продюсер","170, 1948 — 2022","Учитель года,Страшилы,Покрытое тайной 2: Вниз по кроличьей норе,Семейка Аддамс,Город сверхъестественного. Индиана,Сумеречная зона,Диснейленд,Байки из склепа"
Пенни Джонсон,https://www.kinopoisk.ru/name/79931,Актриса,"85, 1963 — 2024","Коломбо: Кого убила капля никотина,На что способна любовь,Король Лев,Касл,Орвилл,Третий лишний,Орвилл,Секретные материалы"
Орсон Уэллс,https://www.kinopoisk.ru/name/22887,"Актер,Сценарист,Режиссер,Продюсер,Монтажер,Художник,Оператор","329, 1934 — 2023","Месье Верду,Гражданин Кейн,Процесс,Ватерлоо,Печать зла,Я люблю Люси,Детективное агентство «Лунный свет»,Сёгун,Частный детектив Магнум"
Кейша Грэй,https://www.kinopoisk.ru/name/3494317,Актриса,"71, 2001 — 2017",
Джэми-Линн Сиглер,https://www.kinopoisk.ru/name/82140,"Актриса,Продюсер","117, 1990 — 2022","Сопрано,Как я встретил вашу маму,Красавцы,Папочка,До смерти красива"
Лаура Аллен,https://www.kinopoisk.ru/name/30100,Актриса,"43, 1999 — 2020","Улыбка Моны Лизы,Пробуждение,Терьеры,Желтая пресса,Доктор Хаус,Форс-мажоры"
Энди Роддик,https://www.kinopoisk.ru/name/1217926,Актер,"30, 1996 — 2023","Притворись моей женой,Saturday Night Live"
Керстин Эмхофф,https://www.kinopoisk.ru/name/996527,Продюсер,"30, 1998 — 2023",
Блайт Оффарт,https://www.kinopoisk.ru/name/55328,Актриса,"24, 1990 — 2019","Гнездо дракона,Третья смена,Секс в большом городе,Вероника Марс,Морская полиция: Спецотдел,Закон и порядок. Специальный корпус"
Роберт Уолберг,https://www.kinopoisk.ru/name/30268,"Актер,Продюсер","19, 1998 — 2019","Отступники,Таинственная река,Прощай, детка, прощай,Великий уравнитель,Город на холме"
Эдди Мерфи,https://www.kinopoisk.ru/name/25674,"Актер,Продюсер,Сценарист,Композитор,Режиссер","213, 1975 — 2024","Эдди Мерфи без купюр,Эдди Мерфи: Околесица,Мистер Черч,Поездка в Америку,Поменяться местами,Saturday Night Live"
Тиффани Тиссен,https://www.kinopoisk.ru/name/17046,"Актриса,Продюсер,Режиссер","92, 1984 — 2022","Зятек,Белый воротничок,Беверли-Хиллз 90210,Чарльз в ответе,Журнал мод,Женаты и с детьми"
Александр Кох,https://www.kinopoisk.ru/name/2494628,Актер,"21, 1999 — 2023","Закон и порядок. Специальный корпус,Люцифер,Соболезную вашей утрате"
Куинси Джонс,https://www.kinopoisk.ru/name/29100,"Композитор,Продюсер,Актер","274, 1961 — 2024","Цветы лиловые полей,Сталинград,Цветок кактуса,Золото Маккенны,Полуночная жара,Принц из Беверли-Хиллз,Saturday Night Live"
Анжелика Хьюстон,https://www.kinopoisk.ru/name/28296,"Актриса,Режиссер,Продюсер","227, 1955 — 2025","История вечной любви,Семейка Аддамс,Ценности семейки Аддамс,Ангелы с железными зубами,Жизнь прекрасна,Одинокий голубь,Жизнь как шоу,Туманы Авалона,Saturday Night Live,Звёздные войны: Бракованная партия"
Нэнси Морган,https://www.kinopoisk.ru/name/124330,Актриса,"36, 1969 — 2016",
Джим Пэррак,https://www.kinopoisk.ru/name/605817,"Актер,Продюсер,Режиссер,Сценарист,Оператор","67, 1994 — 2023","Поединок,О мышах и людях,Ярость,Настоящая кровь,911: Одинокая звезда,Сверхъестественное,Анатомия страсти,Скорая помощь"
Мария Менунос,https://www.kinopoisk.ru/name/581576,"Актриса,Продюсер,Режиссер","133, 1996 — 2022","РестлМания 28,Клиника,Пацаны,Красавцы,Холм одного дерева,Луи"
Куин Латифа,https://www.kinopoisk.ru/name/25385,"Актриса,Продюсер,Композитор,Сценарист","289, 1990 — 2022","Моя жизнь,Чикаго,Последний отпуск,Тайная жизнь пчёл,Прорваться в НБА,Красавцы,Крученый город,Империя,Майя и три воина,Принц из Беверли-Хиллз"
Ральф Беллами,https://www.kinopoisk.ru/name/128580,Актер,"218, 1931 — 2021","Красотка,Поменяться местами,Его девушка Пятница,Леди в поезде,Ужасная правда,Сумеречная зона,Отель"
София Коппола,https://www.kinopoisk.ru/name/24301,"Актриса,Режиссер,Сценарист,Продюсер,Оператор,Художник","101, 1972 — 2023","Трудности перевода,Девственницы-самоубийцы,Звёздные войны: Эпизод 1 — Скрытая угроза,Крестный отец 3,Бойцовая рыбка,Чем мы заняты в тени"
Джада Пинкетт Смит,https://www.kinopoisk.ru/name/520,"Актриса,Продюсер,Сценарист,Режиссер,Композитор","198, 1987 — 2023","Матрица: Перезагрузка,Опустевший город,Тайная жизнь пчёл,Соучастник,Угроза для общества,Джамп стрит, 21,Готэм"
Джоэл Мэдден,https://www.kinopoisk.ru/name/49649,"Актер,Композитор","73, 2000 — 2020",Империя
Дэвид Рейнер,https://www.kinopoisk.ru/name/1083354,Актер,"11, 2004 — 2012",
Брайан Сингер,https://www.kinopoisk.ru/name/8210,"Продюсер,Режиссер,Актер,Сценарист","89, 1988 — 2018","Богемская рапсодия,Подозрительные лица,Люди Икс: Дни минувшего будущего,Люди Икс,Люди Икс 2,Доктор Хаус,Грязные мокрые деньги,Батл Крик,Чёрный ящик,Легион"
Марлис Пинто,https://www.kinopoisk.ru/name/1536136,Актриса,"4, 2006 — 2009",Помадные джунгли
Хезер Линн,https://www.kinopoisk.ru/name/929833,Актриса,"14, 1999 — 2002",
Лиза Колон-Зайас,https://www.kinopoisk.ru/name/38847,"Актриса,Продюсер,Сценарист","61, 1990 — 2024","Неверная,Потерянный рейс,Призрачная красота,Добровольцы,Медведь,Доктор Хаус,Декстер,Третья смена,Луи"
Клинт Иствуд,https://www.kinopoisk.ru/name/22948,"Актер,Продюсер,Режиссер,Композитор","300, 1952 — 2023","Хороший, плохой, злой,На несколько долларов больше,Гран Торино,Малышка на миллион,Мосты округа Мэдисон,Блюз,Удивительные истории"
Элли Кинцель,https://www.kinopoisk.ru/name/1808469,Актриса,"7, 2005 — 2017",Мыслить как преступник
Аполо Оно,https://www.kinopoisk.ru/name/1235253,Актер,"41, 2010 — 2018",Гавайи 5.0
Джейден Джеймс,https://www.kinopoisk.ru/name/3995342,Актриса,"108, 2000 — 2015",
Джоэль Гуднесс,https://www.kinopoisk.ru/name/1222312,Актер,"1, 1993 — 1993",Звездный путь: Дальний космос 9
Дженни Уэйд,https://www.kinopoisk.ru/name/557562,Актриса,"42, 1999 — 2019","Вкус жизни,Братья,Хорошие парни,На службе у дьявола,Американская история ужасов,Гримм,Безумцы"
Стивен Джеймс ДиЧенцо,https://www.kinopoisk.ru/name/1528409,Актер,"5, 2008 — 2017",
Мелисса Джоан Харт,https://www.kinopoisk.ru/name/12873,"Актриса,Продюсер,Режиссер","177, 1977 — 2023","Бритни Спирс: Суперхиты — моя прерогатива,Бэтмен будущего: Возвращение Джокера,Детство Шелдона,Волшебный мир Дисней,Мелисса и Джоуи,Кларисса знает всё,Шоу 70−х"
Луис Бромфилд,https://www.kinopoisk.ru/name/213493,Сценарист,"14, 1925 — 1955","Дракула,По ком звонит колокол"
Фэтмэн Скуп,https://www.kinopoisk.ru/name/1147810,Актер,"21, 2004 — 2021",Гетто
Алан О’Дэй,https://www.kinopoisk.ru/name/175480,"Композитор,Актер","6, 1948 — 2013",
Сэм Липс,https://www.kinopoisk.ru/name/4087779,Актер,"1, 2014 — 2014",
Мая Мэйс,https://www.kinopoisk.ru/name/3756405,Актриса,"7, 2004 — 2018",
Чазз Пальминтери,https://www.kinopoisk.ru/name/1798,"Актер,Продюсер,Сценарист,Режиссер","115, 1978 — 2023","Бронкская история,Беги без оглядки,Анализируй это,Пули над Бродвеем,Поединок,Американская семейка,Крёстный отец Гарлема,Тюрьма «ОZ»,Напарницы,Закон и порядок. Специальный корпус"
Джейкоб Артист,https://www.kinopoisk.ru/name/2471797,Актер,"18, 2009 — 2020","Хор,Американская история ужасов,Мелисса и Джоуи,База Куантико"
Клэр Джулиен,https://www.kinopoisk.ru/name/2785934,Актриса,"4, 2012 — 2013",Темный рыцарь: Возрождение легенды
Харви Вайнштейн,https://www.kinopoisk.ru/name/3205,"Продюсер,Актер,Режиссер,Сценарист","393, 1980 — 2022","Убить Билла: Кровавое дело целиком,Лев,Английский пациент,Город грехов,Клерки 2,Проект «Подиум»,Война и мир,Марко Поло"
Erica Zodtner,https://www.kinopoisk.ru/name/1229527,Актриса,"4, 1973 — 2008",Дефективный детектив
Уиллоу Шилдс,https://www.kinopoisk.ru/name/1637505,Актриса,"28, 2008 — 2023","Голодные игры: И вспыхнет пламя,Голодные игры,Цепляясь за лёд,В простом виде"
Амира Вэнн,https://www.kinopoisk.ru/name/1637679,"Актриса,Продюсер","27, 1999 — 2024","Как избежать наказания за убийство,Булл,Закон и порядок. Специальный корпус,Моцарт в джунглях,Девочки"
Джаред Падалеки,https://www.kinopoisk.ru/name/223878,"Актер,Продюсер","45, 1994 — 2022","Рождественский коттедж,Сверхъестественное,Скорая помощь,Девочки Гилмор,Девочки Гилмор: Времена года,Сверхъестественное: Анимация"
Тера Патрик,https://www.kinopoisk.ru/name/228269,Актриса,"84, 1995 — 2021",
Нил Флинн,https://www.kinopoisk.ru/name/7136,"Актер,Сценарист","98, 1972 — 2023","Магнолия,Беглец,Высшая лига,Младенец на прогулке, или Ползком от гангстеров,Клиника,Бывает и хуже,Шоу 70−х,Сайнфелд,Завтра наступит сегодня"
Лайонел Д. Карсон,https://www.kinopoisk.ru/name/633,"Актер,Продюсер","24, 1983 — 2020","Отчаянные домохозяйки,Западное крыло"
Зэк Хадсон,https://www.kinopoisk.ru/name/51806,Актер,"5, 1997 — 2012",
Нолан Гоулд,https://www.kinopoisk.ru/name/1128845,Актер,"63, 2005 — 2023","Секс по дружбе,Американская семейка,Анатомия страсти,В последний миг,Держись, Чарли!,София Прекрасная"
Маргарет Колин,https://www.kinopoisk.ru/name/38839,Актриса,"83, 1980 — 2022","Трое мужчин и младенец,День независимости,Неверная,Милашка в розовом,Сейчас или никогда,Сплетница,Хорошая жена,Готэм,Закон и порядок. Специальный корпус"
Колин Хэнкс,https://www.kinopoisk.ru/name/36995,"Актер,Продюсер,Режиссер","120, 1996 — 2024","Кинг Конг,11:14,То, что ты делаешь,Tenacious D: Медиатор судьбы,Предложение,Фарго,Хорошие парни,Город пришельцев,Жизнь в деталях"
Джейк Эйбел,https://www.kinopoisk.ru/name/981060,Актер,"44, 1994 — 2024","Милые кости,Проблеск гениальности,Сверхъестественное,Анатомия страсти,Скорая помощь,Жизнь как приговор,CSI: Место преступления Нью-Йорк"
Мэтт Митчелл,https://www.kinopoisk.ru/name/782205,"Актер,Продюсер,Режиссер,Оператор,Монтажер","16, 1997 — 2022",
Джон Ди Маджио,https://www.kinopoisk.ru/name/16536,"Актер,Продюсер,Сценарист","340, 1989 — 2023","Пираты Силиконовой Долины,Футурама: Большой куш Бендера!,Бэтмен: Под колпаком,Аниматрица,Футурама: Игра Бендера,Гравити Фолз,Амфибия,Время приключений: Фиона и Кейк,Лучше звоните Солу,Американская семейка"
Томас Арана,https://www.kinopoisk.ru/name/2979,Актер,"118, 1976 — 2024","Гладиатор,Темный рыцарь: Возрождение легенды,Области тьмы,Секреты Лос-Анджелеса,Перл-Харбор,Скорая помощь,Наследники,Обмани меня,Новый Папа,24 часа"
Симон Локхарт,https://www.kinopoisk.ru/name/4732138,Актриса,"6, 2016 — 2021",Охота
Майкл Джитер,https://www.kinopoisk.ru/name/8989,"Актер,Режиссер","84, 1964 — 2007","Король-рыбак,Водный мир,Страх и ненависть в Лас-Вегасе,Яков лжец,Король воздуха,Криминальная история,Похищенный,Эй, Арнольд!,Аладдин"
Caroline Paul,https://www.kinopoisk.ru/name/2416882,Сценарист,2,
Камила Мендес,https://www.kinopoisk.ru/name/3536080,"Актриса,Продюсер","34, 2017 — 2024","Зависнуть в Палм-Спрингс,Симпсоны"
Ди Джей Куоллс,https://www.kinopoisk.ru/name/9698,"Актер,Продюсер","76, 1998 — 2023","Суета и движение,Дорожное приключение,Предчувствие,В норме,Человек в высоком замке,Во все тяжкие,Клиника"
Гилберт Готтфрид,https://www.kinopoisk.ru/name/35304,"Актер,Сценарист,Продюсер","272, 1969 — 2023","Полицейский из Беверли-Хиллз 2,Аладдин и король разбойников,Возвращение Джафара,Аладдин,Зверокрекеры,Злостный видеоигровой задрот,События прошедшей недели с Джоном Оливером,Удивительная миссис Мейзел,Saturday Night Live,Самурай Джек"
Дэн Гленн,https://www.kinopoisk.ru/name/747730,Актер,"27, 1963 — 2022","Касл,Мертвые до востребования,Тысяча смертей,Страсть,Морская полиция: Лос-Анджелес"
Лорел Холломан,https://www.kinopoisk.ru/name/10469,Актриса,"37, 1994 — 2019","Префонтейн,Ночи в стиле буги,Секс в другом городе,Касл,Ангел,Секс в другом городе: Поколение Q,Без следа"
Тодд Сокермен,https://www.kinopoisk.ru/name/3058910,Актер,"6, 2003 — 2014",
Майкл Сталь-Дэвид,https://www.kinopoisk.ru/name/226658,"Актер,Сценарист,Режиссер,Продюсер","50, 2001 — 2022","В твоих глазах,Обещание,Братья Доннелли,Покажите мне героя,Нарко,В поле зрения,Хорошая жена"
Брэд Бёрд,https://www.kinopoisk.ru/name/21441,"Сценарист,Режиссер,Продюсер,Актер","42, 1979 — 2021","Стальной гигант,Рататуй,Батарейки не прилагаются,Суперсемейка,Суперсемейка 2,Удивительные истории,Симпсоны"
Майкл Шеннон Дженкинс,https://www.kinopoisk.ru/name/24903,"Актер,Режиссер,Продюсер,Сценарист","81, 1987 — 2024","Неоспоримый 3,Двойной просчёт,C.S.I. Место преступления,Зачарованные,Хорошие парни,CSI: Место преступления Нью-Йорк,C.S.I.: Майами"
Шон Уинг,https://www.kinopoisk.ru/name/1044351,"Актер,Композитор,Сценарист,Продюсер","44, 1994 — 2023","Десятидюймовый герой,Лунный свет,Детектив Раш,До смерти красива,Вперед, в прошлое!,Медиум"
Sesugh Uhaa,https://www.kinopoisk.ru/name/3097953,Актер,"48, 1993 — 2023","WWE RAW,WWE SmackDown"
Чарльз Мартин Смит,https://www.kinopoisk.ru/name/63803,"Актер,Режиссер,Сценарист,Продюсер","105, 1969 — 2020","Неприкасаемые,Не кричи «Волки!»,Рождество кота Боба,История дельфина,Король воздуха,Театр Рэя Брэдбери,Космос: Далекие уголки,Секретные материалы,Грань,Грабь награбленное"
Джеффри Льюис,https://www.kinopoisk.ru/name/7097,"Актер,Сценарист,Режиссер","220, 1955 — 2017","Только сильнейшие,Громила и скороход,Двойной удар,Мэверик,Человек без лица,Доктор Хаус,Секретные материалы,Мыслить как преступник,Команда «А»,Лас Вегас"
Эрик Андре,https://www.kinopoisk.ru/name/1537710,"Актер,Сценарист,Продюсер,Режиссер","79, 2000 — 2023","Митчеллы против машин,Зверопой 2,Король Лев,Шоу Эрика Андре,Мужчина ищет женщину,Не верь су*** из квартиры 23,Теория большого взрыва,Арчер"
Мэриэн Селдес,https://www.kinopoisk.ru/name/12599,Актриса,"116, 1947 — 2018","Пальцы,Посетитель,Август Раш,Если бы эти стены могли говорить 2,Улыбка Моны Лизы,Альфред Хичкок представляет,Секс в большом городе,Перри Мейсон,Тайны Ниро Вульфа,Фрейзер"
Кит Гарси,https://www.kinopoisk.ru/name/44562,,"2, 1998 — 2002",
Анджела Арнольд,https://www.kinopoisk.ru/name/6371055,Актриса,"3, 2010 — 2019",
Рид Даймонд,https://www.kinopoisk.ru/name/2608,Актер,"103, 1970 — 2023","Человек, который изменил всё,Наемные убийцы,Человек-паук 2,Красавица Мемфиса,Доброй ночи и удачи,Убойный отдел,Кукольный дом,Компаньоны,Вперед, в прошлое!,Темное дитя: Отголоски"
Джефф Пэршли,https://www.kinopoisk.ru/name/2599564,Продюсер,"3, 2020 — 2020",
Марисса Рибизи,https://www.kinopoisk.ru/name/10855,"Актриса,Сценарист","39, 1987 — 2021","Плезантвиль,В поисках Лолы,Друзья,Грейс в огне,Фелисити"
Виола Дэвис,https://www.kinopoisk.ru/name/37058,"Актриса,Продюсер","198, 1993 — 2024","Прислуга,Пленницы,Войны Пентагона,Air: Большой прыжок,Сомнение,Как избежать наказания за убийство,Первая леди,Пропавший,Третья смена,C.S.I. Место преступления"
Биби Ньювирт,https://www.kinopoisk.ru/name/27364,"Актриса,Режиссер","132, 1981 — 2023","Джуманджи,Компаньон,Вид на жительство,Высоты свободы,Тик-так... БУМ!,Джулия,Все псы попадают в рай,Утиные истории,Звездный путь: Следующее поколение,Утиные истории. Короткие истории"
Уилла Форд,https://www.kinopoisk.ru/name/1076463,Актриса,"26, 2001 — 2016","Грабь награбленное,Город мечты"
Рейчел Старр,https://www.kinopoisk.ru/name/991825,Актриса,"67, 2000 — 2020",
Сиенна Миллер,https://www.kinopoisk.ru/name/373212,Актриса,"117, 2000 — 2024","Казанова,Я соблазнила Энди Уорхола,Слоеный торт,Медовый месяц Камиллы,Интервью,Самый громкий голос,Умерь свой энтузиазм"
Шармэйн Стар,https://www.kinopoisk.ru/name/393406,Актриса,"62, 1999 — 2016",
Стивен Хартов,https://www.kinopoisk.ru/name/4807,"Сценарист,Актер","9, 1996 — 2018",
Eva Lux,https://www.kinopoisk.ru/name/3984507,Актриса,"1, 2001 — 2001",
Эдди Фишер,https://www.kinopoisk.ru/name/74867,Актер,"52, 1956 — 2016",Баттерфилд 8
Боб Брайан,https://www.kinopoisk.ru/name/1228327,Актер,"11, 2002 — 2014",8 простых правил для друга моей дочери-подростка
